regime,n,positive_frequency,mean,median,p05,p95,mean_ci_low,mean_ci_high,positive_ci_low,positive_ci_high,mean_adverse,difference_from_all,evidence,feature_set,episodes_in_segment,horizon
All sampled dates,25,0.52,0.007033417188878892,0.002052994290600907,-0.058788334708174926,0.0677625772749585,-0.0211167279966614,0.03072924923546692,0.32,0.72,-0.0390001303328414,0.0,Limited sample,Price only,67,7
Expansion,6,0.3333333333333333,-0.0006204876664553197,-0.0010592454179310096,-0.054420109071412925,0.05794240550990831,-0.029467452242663957,0.02523965412479749,0.0,0.5,-0.03390696919999653,-0.007653904855334212,Limited sample,Price only,14,7
Firm / mixed,14,0.6428571428571429,0.012458091113886571,0.012714832204328896,-0.08749541131129368,0.1269664387623016,-0.029702928323280905,0.05452884891531704,0.35714285714285715,0.8571428571428571,-0.04164759295417107,0.0054246739250076795,Limited sample,Price only,28,7
Soft / mixed,5,0.4,0.0010290160252584446,-0.004958897597924894,-0.04054999802864108,0.04210696951254311,-0.02054143079255235,0.018440500238742063,0.0,0.6,-0.03769902835253218,-0.006004401163620447,Limited sample,Price only,25,7
All sampled dates,25,0.52,0.007033417188878892,0.002052994290600907,-0.058788334708174926,0.0677625772749585,-0.0211167279966614,0.03072924923546692,0.32,0.72,-0.0390001303328414,0.0,Limited sample,Price + derivatives,62,7
Defensive,2,0.5,0.0054385089128930475,0.0054385089128930475,-0.02383631013341881,0.0347133279592049,,,,,-0.04258318647462894,-0.0015949082759858443,Limited sample,Price + derivatives,7,7
Firm / mixed,5,0.4,-0.00504841374859395,-0.0009457925741771511,-0.05513353146321465,0.041367257900957945,-0.02527429605126317,0.015177468554075268,0.2,0.6,-0.03145772039060781,-0.01208183093747284,Limited sample,Price + derivatives,26,7
Soft / mixed,18,0.5555555555555556,0.010566693368841997,0.006264664513171647,-0.07120581234919059,0.09341116731040694,-0.03199529914729063,0.048823303013764155,0.2777777777777778,0.8333333333333334,-0.040697126856596565,0.0035332761799631053,Limited sample,Price + derivatives,29,7
All sampled dates,25,0.52,0.007033417188878892,0.002052994290600907,-0.058788334708174926,0.0677625772749585,-0.0211167279966614,0.03072924923546692,0.32,0.72,-0.0390001303328414,0.0,Limited sample,Price + derivatives + on-chain,45,7
Defensive,14,0.6428571428571429,0.023535559951163996,0.012714832204328896,-0.044649819190616565,0.1269664387623016,-0.001852036447730336,0.05318656772151778,0.42857142857142855,0.8571428571428571,-0.029101851169524486,0.016502142762285104,Limited sample,Price + derivatives + on-chain,18,7
Firm / mixed,6,0.3333333333333333,-0.0038420629505531156,-0.0010592454179310096,-0.054420109071412925,0.04344531673146823,-0.024785992752790437,0.018662558586734046,0.0,0.5,-0.03441644321486111,-0.010875480139432007,Limited sample,Price + derivatives + on-chain,11,7
Soft / mixed,5,0.4,-0.02612200637820099,-0.004958897597924894,-0.1211323324674017,0.03451979222451884,-0.08252378152594761,0.022488502172231906,0.0,0.8,-0.07221573653170513,-0.033155423567079886,Limited sample,Price + derivatives + on-chain,16,7
